,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR,TimeFrame,Name,cluster,num_of_20_wins,IP,ERA
569,marquja01,124,118,377,318,8,1,5905,2079,1008,253,769,1174,4.864,41.0,56,88.0,9,8623.0,26,1114,94.0,61.0,216.0,15,0.0,0,4.3,2000 - 2015,Jason Marquis,2,0.0,1968.3333333333333,4.608975444538527
570,pennybr01,121,101,349,319,4,0,5775,2030,917,194,619,1273,4.345,38.0,54,53.0,6,8218.0,10,990,78.0,47.0,218.0,14,0.0,0,18.8,2000 - 2014,Brad Penny,2,0.0,1925.0,4.287272727272727
571,westbja01,105,103,315,273,15,0,5243,1885,839,148,571,965,4.08,37.0,41,68.0,1,7517.0,11,922,61.0,48.0,239.0,13,0.0,0,12.82,2000 - 2013,Jake Westbrook,2,0.0,1747.6666666666667,4.320617966812893
572,zitoba01,165,143,433,421,12,0,7730,2381,1157,282,1064,1885,3.841,52.0,50,97.0,8,11001.0,9,1254,105.0,73.0,219.0,15,0.0,0,33.05,2000 - 2015,Barry Zito,2,1.0,2576.6666666666665,4.041267787839586
573,beckejo02,138,106,335,332,12,0,6153,1897,884,238,629,1901,3.639,28.0,59,76.0,3,8579.0,1,957,66.0,41.0,139.0,14,0.0,0,35.29,2001 - 2014,Josh Beckett,2,1.0,2051.0,3.87908337396392
575,lohseky01,147,143,457,418,12,2,7595,2711,1239,316,694,1615,5.090999999999999,34.0,57,87.0,4,10839.0,15,1327,99.0,78.0,191.0,16,0.0,0,19.43,2001 - 2016,Kyle Lohse,2,0.0,2531.6666666666665,4.404608294930876
576,oswalro01,163,102,365,341,20,0,6736,2199,838,197,520,1852,3.669000000000001,34.0,30,80.0,7,9301.0,7,897,105.0,57.0,201.0,13,0.0,0,49.91,2001 - 2013,Roy Oswalt,2,2.0,2245.3333333333335,3.35896674584323
578,haranaa01,128,143,387,381,15,0,6966,2445,1099,298,712,1842,4.367000000000001,54.0,76,63.0,3,9975.0,2,1177,112.0,67.0,160.0,14,0.0,0,23.81,2002 - 2015,Aaron Harang,2,0.0,2322.0,4.25968992248062
579,leecl02,143,91,328,324,29,0,6470,2116,843,223,464,1824,3.763,12.0,41,50.0,2,8917.0,1,923,53.0,54.0,166.0,13,0.0,0,42.52,2002 - 2014,Cliff Lee,2,1.0,2156.6666666666665,3.517928902627512
580,peavyja01,152,126,388,377,15,0,7131,2134,960,259,708,2207,4.276999999999999,42.0,46,78.0,14,9838.0,3,1011,63.0,62.0,166.0,15,0.0,0,37.21,2002 - 2016,Jake Peavy,2,0.0,2377.0,3.6348338241480858
582,correke01,76,98,358,221,2,0,4286,1569,734,179,474,906,4.041,30.0,32,39.0,4,6227.0,31,789,63.0,47.0,117.0,13,0.0,0,4.24,2003 - 2015,Kevin Correia,2,0.0,1428.6666666666667,4.62389174055063
584,harenda01,153,131,391,380,16,1,7259,2357,1009,305,500,2013,3.837999999999999,39.0,98,67.0,5,10022.0,4,1105,78.0,63.0,152.0,13,0.0,0,32.9,2003 - 2015,Dan Haren,2,0.0,2419.6666666666665,3.752996280479405
586,floydga01,74,76,243,196,5,0,3750,1239,607,160,415,985,3.38,25.0,64,66.0,3,5344.0,17,664,32.0,36.0,132.0,13,0.0,0,16.37,2004 - 2016,Gavin Floyd,2,0.0,1250.0,4.3704
