,playerID,W,L,G,GS,CG,SV,IPouts,H,ER,HR,BB,SO,BAOpp,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,Years_Played,HoF,votedBy,WAR
2846,doyleca01,6,15,51,21,6,2,668,277,172,18,155,101,1.6,,16,17.0,2,1099.0,16,195,,,,4,0.0,,-2.98
2847,eavesva01,4,8,24,14,6,0,318,105,54,7,70,46,1.34,,4,6.0,0,482.0,3,62,,,,5,0.0,,0.27
2848,eisenha01,25,27,165,32,11,14,1436,550,204,30,114,157,2.78,,6,4.0,2,2064.0,88,242,,,,8,0.0,,6.75
2849,ferrabi01,1,2,3,2,0,0,21,7,4,0,5,0,0.26,,1,0.0,0,33.0,1,5,,,,1,0.0,,0.01
2850,finkhe01,10,20,67,30,10,4,853,322,165,24,123,73,0.84,,4,2.0,2,1275.0,22,188,,,,3,0.0,,2.17
2851,gablefr01,16,23,113,31,10,8,1129,457,220,37,107,109,2.65,,7,4.0,0,1644.0,54,241,,,,4,0.0,,-1.81
2852,greenha02,0,0,2,0,0,0,3,2,1,0,3,0,0.4,,0,1.0,0,9.0,1,1,,,,1,0.0,,-0.01
2853,gumbeha01,143,113,508,235,96,48,6468,2186,882,121,721,709,4.870000000000001,,40,23.0,3,9217.0,180,1012,,,,15,0.0,,17.54
2854,harrera01,9,20,119,31,6,3,990,385,209,26,177,136,2.2,,15,10.0,1,1542.0,35,256,,,,6,0.0,,-4.45
2855,hattecl01,1,0,11,2,0,0,128,61,40,2,41,19,0.72,,0,2.0,0,226.0,4,45,,,,2,0.0,,-1.25
2856,hayesji01,2,4,7,4,1,0,84,38,26,0,23,9,0.32,,2,0.0,2,143.0,2,28,,,,1,0.0,,-0.83
2857,hensiph01,0,3,6,1,0,1,39,21,14,2,9,6,0.35,,1,0.0,0,70.0,3,15,,,,1,0.0,,-0.85
2858,heussed01,56,67,266,104,50,18,3261,1167,446,66,300,299,2.5999999999999996,,13,13.0,1,4644.0,90,528,,,,9,0.0,,9.22
2859,hollial01,70,104,315,185,78,15,4561,1642,674,47,587,608,4.010000000000001,,39,14.0,7,6703.0,78,788,,,,11,0.0,,11.15
2860,hucklea01,1,0,1,1,0,0,20,8,7,1,4,2,0.29,,0,0.0,0,32.0,0,7,,,,1,0.0,,-0.17
